Fund net assets,"Fossil fuel holdings, weight","Coal industry, weight","Oil / gas industry, weight","Fossil-fired utilities, weight",Fossil fuel finance fund score,"Fossil fuel finance holdings, weight",Fossil fuel insurance fund score,"Fossil fuel insurance holdings, weight","Clean200, weight"," Deforestation-risk producer, weight","Deforestation-risk financier, weight","Deforestation-risk consumer brand, weight",esg_score,grade
6947758603,0.075,0.017,0.051,0.025,0,0,0,0,0,0,0,0.012,29.56,3
1044149594,0.011,0,0.011,0,0,0,0,0,0.016,0,0,0,26.9,3
4006859704,0.112,0.01,0.066,0.047,0,0,13.2,0.023,0,0,0,0.005,27.9,3
323506366,0.075,0.009,0.055,0.02,0,0,10.6,0.018,0.014,0,0,0.024,26.11,3
661345652,0.087,0.04,0.05,0.038,23.5,0.09,0,0,0.15,0.007,0.058,0.012,27.25,3
2419867058,0.123,0.03,0.093,0.032,29.9,0.059,26.7,0.031,0.119,0,0.029,0.182,23.31,3
828095365,0.039,0.004,0.035,0.005,4.9,0.011,4.4,0.005,0.115,0,0.004,0.048,23.85,3
51440222,0.066,0.009,0.052,0.018,6,0.016,12.1,0.013,0.093,0.004,0.01,0.08,24.59,3
415522067,0.075,0,0.027,0.048,0,0,47.8,0.048,0.116,0,0,0.135,22.45,3
88484208,0.05,0.006,0.039,0.014,4.4,0.011,9.3,0.01,0.07,0.003,0.007,0.061,24.35,3
167867109,0.022,0,0.022,0,0,0,18.7,0.032,0,0,0,0.024,27.91,3
970416152,0.986,0,0.986,0,0,0,0,0,0,0,0,0,34.49,4
724344087,0.026,0,0.026,0.026,10.7,0.021,0,0,0.086,0.01,0.027,0.06,24.09,3
5115784311,0.048,0.025,0.024,0.048,11.1,0.019,0,0,0.19,0.013,0.059,0.102,23.42,3
263434789,0.055,0.055,0,0.055,0,0,0,0,0,0,0,0,28.44,3
170337024,0.188,0.016,0.178,0,63.8,0.104,31.9,0.035,0.041,0.007,0.08,0.145,23.54,3
63142852,0.02,0.02,0,0,0,0,0,0,0.129,0,0.016,0.076,23.06,3
327172637,0,0,0,0,0,0,0,0,0.187,0,0,0.039,23.53,3
520058829,0.005,0.005,0,0,0,0,0,0,0.123,0,0,0.05,24.03,3
441190533,0.016,0.011,0.004,0,1.5,0.003,0.8,0.001,0.145,0,0.009,0.077,23,3
374809510,0.031,0,0.031,0,0,0,0,0,0.006,0,0,0,24.29,3
17563426,0.021,0,0.021,0,0,0,0,0,0.275,0,0,0.071,21.43,3
9743819,0.055,0,0.055,0,7.1,0.028,0,0,0.159,0,0.041,0.069,21.9,3
69879616,0.056,0,0.056,0,8.1,0.049,0,0,0.184,0,0.049,0.042,21.26,3
1106790902,0,0,0,0,0,0,0,0,0,0,0,0.07,18.43,2
933638076,0.068,0,0.051,0.017,15.1,0.035,17.3,0.017,0.209,0,0,0.191,20.49,3
353647218,0.058,0,0.058,0,12.3,0.029,0,0,0.155,0,0.024,0.079,20.19,3
406246159,0.016,0,0.01,0.006,2.2,0.005,5.9,0.006,0.171,0,0,0.188,21.12,3
2153468419,0.088,0.006,0.057,0.045,14.1,0.024,25.4,0.026,0.245,0.002,0.026,0.117,22.05,3
94248083,0.041,0.003,0.034,0.021,1.9,0.005,9.9,0.011,0.13,0,0.004,0.072,20.78,3
1949362431,0.006,0,0.003,0.004,2.1,0.005,5.9,0.006,0.272,0,0.002,0.103,21.47,3
176512954,0.001,0,0.001,0.001,0,0,0,0,0.366,0,0,0.117,20.76,3
335130995,0.086,0.006,0.073,0.031,62.7,0.106,29,0.033,0.102,0.002,0.105,0.118,24.48,3
489400290,0.05,0.012,0.048,0.02,11,0.018,39.3,0.043,0.144,0.006,0,0.139,22.62,3
151195633,0,0,0,0,0,0,3.8,0.008,0.235,0,0,0.042,20.15,3
57006712,0.041,0.003,0.038,0,3.9,0.017,11.5,0.022,0.158,0.002,0.007,0.17,21.19,3
4106387405,0.059,0,0.059,0,0,0,2.5,0.004,0.026,0,0,0.041,23.87,3
